행정구역명,법정동코드,terrain,행정구역위도,행정구역경도,기상지역명,기상지역유형,기상지역위도,기상지역경도,EPW파일명
대구광역시 서구,2717000000,Suburbs,35.8751068,128.5496442,대구,일반 지역,35.8283,128.6522,KOR_TG_Daegu.471430_TMYx.2009-2023.epw
대구광역시 남구,2720000000,Suburbs,35.83509388,128.5853133,대구,일반 지역,35.8283,128.6522,KOR_TG_Daegu.471430_TMYx.2009-2023.epw
대구광역시 북구,2723000000,Suburbs,35.92881398,128.5773316,대구,일반 지역,35.8283,128.6522,KOR_TG_Daegu.471430_TMYx.2009-2023.epw
대구광역시 수성구,2726000000,Suburbs,35.83378493,128.6612229,대구,일반 지역,35.8283,128.6522,KOR_TG_Daegu.471430_TMYx.2009-2023.epw
대구광역시 달서구,2729000000,Suburbs,35.82768146,128.5289462,대구,일반 지역,35.8283,128.6522,KOR_TG_Daegu.471430_TMYx.2009-2023.epw
대구광역시 달성군,2771000000,Suburbs,35.7596015,128.4982818,대구,일반 지역,35.8283,128.6522,KOR_TG_Daegu.471430_TMYx.2009-2023.epw
대구광역시 군위군,2772000000,Suburbs,36.17011724,128.6481186,구미,일반 지역,36.1306,128.3206,KOR_KB_Gumi.471540_TMYx.2009-2023.epw
인천광역시 중구,2811000000,Suburbs,37.47052873,126.4840543,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 동구,2814000000,Suburbs,37.48327464,126.6393799,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 연수구,2818500000,Suburbs,37.39154268,126.6487962,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 남동구,2820000000,Suburbs,37.43091754,126.7264644,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 부평구,2823700000,Suburbs,37.49664249,126.721208,김포 국제공항,AP,37.558,126.791,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 계양구,2824500000,Suburbs,37.55729917,126.7347003,김포 국제공항,AP,37.558,126.791,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 서구,2826000000,Suburbs,37.55966973,126.651818,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 미추홀구,2817700000,Suburbs,37.45260955,126.6645649,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
인천광역시 강화군,2871000000,Suburbs,37.71251555,126.402245,별립산,일반 지역,37.783,126.367,KOR_IN_Pyoripsan.471084_TMYx.2009-2023.epw
인천광역시 옹진군,2872000000,Suburbs,37.52184692,125.6704397,백아도 기상대,Met.Stn,37.0223,125.9987,KOR_HN_Paekado.Met.Stn.471085_TMYx.2009-2023.epw
광주광역시 동구,2911000000,Suburbs,35.11739363,126.9494439,광주,일반 지역,35.1731,126.8917,KOR_KJ_Gwangju.471560_TMYx.2009-2023.epw
광주광역시 서구,2914000000,Suburbs,35.13570982,126.850681,광주,일반 지역,35.1731,126.8917,KOR_KJ_Gwangju.471560_TMYx.2009-2023.epw
광주광역시 남구,2915500000,Suburbs,35.09407935,126.8567807,광주,일반 지역,35.1731,126.8917,KOR_KJ_Gwangju.471560_TMYx.2009-2023.epw
광주광역시 북구,2917000000,Suburbs,35.19324112,126.9254612,광주,일반 지역,35.1731,126.8917,KOR_KJ_Gwangju.471560_TMYx.2009-2023.epw
광주광역시 광산구,2920000000,Suburbs,35.1650367,126.7528888,광주,일반 지역,35.1731,126.8917,KOR_KJ_Gwangju.471560_TMYx.2009-2023.epw
대전광역시 동구,3011000000,Suburbs,36.32395689,127.475058,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
대전광역시 중구,3014000000,Suburbs,36.28081325,127.411101,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
