행정구역명,법정동코드,terrain,행정구역위도,행정구역경도,기상지역명,기상지역유형,기상지역위도,기상지역경도,EPW파일명
전북특별자치도 전주시 완산구,5211100000,Suburbs,35.79125157,127.1207703,전주,일반 지역,35.8408,127.1172,KOR_CB_Jeonju.471460_TMYx.2009-2023.epw
전북특별자치도 전주시 덕진구,5211300000,Suburbs,35.85831602,127.1117346,전주,일반 지역,35.8408,127.1172,KOR_CB_Jeonju.471460_TMYx.2009-2023.epw
전북특별자치도 군산시,5213000000,Suburbs,35.94904159,126.7163692,군산,일반 지역,36.0053,126.7614,KOR_CB_Gunsan.471400_TMYx.2009-2023.epw
전북특별자치도 익산시,5214000000,Suburbs,36.02314387,126.9895037,전주,일반 지역,35.8408,127.1172,KOR_CB_Jeonju.471460_TMYx.2009-2023.epw
전북특별자치도 정읍시,5218000000,Suburbs,35.60264198,126.9058667,정읍,일반 지역,35.563,126.8392,KOR_CB_Jeongeup.471710_TMYx.2009-2023.epw
전북특별자치도 남원시,5219000000,Suburbs,35.42253518,127.4419358,남원,일반 지역,35.4214,127.3964,KOR_CB_Namwon.471730_TMYx.2009-2023.epw
전북특별자치도 김제시,5221000000,Suburbs,35.80669837,126.8945908,전주,일반 지역,35.8408,127.1172,KOR_CB_Jeonju.471460_TMYx.2009-2023.epw
전북특별자치도 완주군,5271000000,Suburbs,35.91873112,127.2152166,전주,일반 지역,35.8408,127.1172,KOR_CB_Jeonju.471460_TMYx.2009-2023.epw
전북특별자치도 진안군,5272000000,Suburbs,35.82888269,127.4300775,금산,일반 지역,36.1052,127.4828,KOR_HN_Geumsan.692244_TMYx.2009-2023.epw
전북특별자치도 무주군,5273000000,Suburbs,35.9393772,127.7129494,금산,일반 지역,36.1052,127.4828,KOR_HN_Geumsan.692244_TMYx.2009-2023.epw
